CHR_PATHOGENICvsBENIGN	BENIGN_SC	PATHOGENIC_SC	INTERSECTION	UNION	MINIMUM
CHR1_DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	14541819	12531185	159246588	14541819
CHR1_MorbidMap_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	18829385	13181622	162883717	18829385
CHR1_OMIM_AllGenes_hg19.BEDvsCHR1_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	157235954	95036163	64967206	187304911	95036163
CHR1_CooperPaper_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	18812009	17221633	158826330	18812009
CHR1_ReportedCNVs_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	27202140	21723265	162714829	27202140
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	7066601	6613575	157688980	7066601
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	16396383	10400861	163231476	16396383
CHR1_MMS_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	23921412	19068529	162088837	23921412
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	47081806	34231544	170086216	47081806
CHR1_OMIM_Recessive_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	10433026	6954586	160714394	10433026
CHR1_HIgenes_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	20842788	12449865	165628877	20842788
CHR1_OMIM_OMI_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	118550	82054	157272450	118550
CHR1_Primary_CNVs_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	47081806	34231544	170086216	47081806
CHR1_CLINGEN+DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	14988693	12935093	159289554	14988693
CHR1_DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	14541819	12531185	159246588	14541819
CHR1_MorbidMap_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	18829385	13181622	162883717	18829385
CHR1_OMIM_AllGenes_hg19.BEDvsCHR1_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	157235954	95036163	64967206	187304911	95036163
CHR1_CooperPaper_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	18812009	15621571	148080205	18812009
CHR1_ReportedCNVs_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	27202140	19214961	152876946	27202140
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	7066601	6203161	145753207	7066601
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	16396383	8657855	152628295	16396383
CHR1_MMS_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	23921412	16582917	152228262	23921412
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	47081806	31596154	160375419	47081806
CHR1_OMIM_Recessive_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	10433026	6756424	148566369	10433026
CHR1_HIgenes_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	20842788	10889623	154842932	20842788
CHR1_OMIM_OMI_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	118550	81757	144926560	118550
CHR1_Primary_CNVs_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	47081806	31596154	160375419	47081806
CHR1_CLINGEN+DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	14988693	11245645	148632815	14988693
CHR1_DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	14541819	10860760	148570826	14541819
CHR1_MorbidMap_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	18829385	11903928	151815224	18829385
CHR1_OMIM_AllGenes_hg19.BEDvsCHR1_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	144889767	95036163	58973288	180952642	95036163
CHR1_CooperPaper_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	18812009	15621571	148080205	18812009
CHR1_ReportedCNVs_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	27202140	19214961	152876946	27202140
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	7066601	6203161	145753207	7066601
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	16396383	8657855	152628295	16396383
CHR1_MMS_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	23921412	16582917	152228262	23921412
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	47081806	31596154	160375419	47081806
CHR1_OMIM_Recessive_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	10433026	6756424	148566369	10433026
CHR1_HIgenes_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	20842788	10889623	154842932	20842788
CHR1_OMIM_OMI_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	118550	81757	144926560	118550
CHR1_Primary_CNVs_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	47081806	31596154	160375419	47081806
CHR1_CLINGEN+DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	14988693	11245645	148632815	14988693
CHR1_DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	14541819	10860760	148570826	14541819
CHR1_MorbidMap_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	18829385	11903928	151815224	18829385
CHR1_OMIM_AllGenes_hg19.BEDvsCHR1_1_30_GAIN_0.005_N_ADDITIONALREGIONS.txt	144889767	95036163	58973288	180952642	95036163
CHR1_CooperPaper_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	18812009	14917448	140297204	18812009
CHR1_ReportedCNVs_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	27202140	18148910	145455873	27202140
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	7066601	5692976	137776268	7066601
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	16396383	7862131	144936895	16396383
CHR1_MMS_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	23921412	15874038	144450017	23921412
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	47081806	30123123	153361326	47081806
CHR1_OMIM_Recessive_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	10433026	6328477	140507192	10433026
CHR1_HIgenes_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	20842788	9768314	147477117	20842788
CHR1_OMIM_OMI_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	118550	81757	136439436	118550
CHR1_Primary_CNVs_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	47081806	30123123	153361326	47081806
CHR1_CLINGEN+DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	14988693	10277208	141114128	14988693
CHR1_DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	14541819	9892323	141052139	14541819
CHR1_MorbidMap_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	18829385	10929425	144302603	18829385
CHR1_OMIM_AllGenes_hg19.BEDvsCHR1_1_30_GAIN_0.006_N_ADDITIONALREGIONS.txt	136402643	95036163	55184806	176254000	95036163
CHR1_CooperPaper_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	18812009	14909285	138792803	18812009
CHR1_ReportedCNVs_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	27202140	18140747	143951472	27202140
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	7066601	5684813	136271867	7066601
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	16396383	7683824	143602638	16396383
CHR1_MMS_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	23921412	15865875	142945616	23921412
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	47081806	29825569	152146316	47081806
CHR1_OMIM_Recessive_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	10433026	6315825	139007280	10433026
CHR1_HIgenes_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	20842788	9506747	146226120	20842788
CHR1_OMIM_OMI_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	118550	81757	134926872	118550
CHR1_Primary_CNVs_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	47081806	29825569	152146316	47081806
CHR1_CLINGEN+DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	14988693	10269045	139609727	14988693
CHR1_DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	14541819	9884160	139547738	14541819
CHR1_MorbidMap_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	18829385	10851257	142868207	18829385
CHR1_OMIM_AllGenes_hg19.BEDvsCHR1_1_30_GAIN_0.007_N_ADDITIONALREGIONS.txt	134890079	95036163	54465970	175460272	95036163
CHR1_CooperPaper_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	18812009	14909285	138792803	18812009
CHR1_ReportedCNVs_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	27202140	18140747	143951472	27202140
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	7066601	5684813	136271867	7066601
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	16396383	7683824	143602638	16396383
CHR1_MMS_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	23921412	15865875	142945616	23921412
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	47081806	29825569	152146316	47081806
CHR1_OMIM_Recessive_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	10433026	6315825	139007280	10433026
CHR1_HIgenes_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	20842788	9506747	146226120	20842788
CHR1_OMIM_OMI_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	118550	81757	134926872	118550
CHR1_Primary_CNVs_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	47081806	29825569	152146316	47081806
CHR1_CLINGEN+DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	14988693	10269045	139609727	14988693
CHR1_DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	14541819	9884160	139547738	14541819
CHR1_MorbidMap_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	18829385	10851257	142868207	18829385
CHR1_OMIM_AllGenes_hg19.BEDvsCHR1_1_30_GAIN_0.008_N_ADDITIONALREGIONS.txt	134890079	95036163	54465970	175460272	95036163
CHR1_CooperPaper_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	18812009	14909285	138792803	18812009
CHR1_ReportedCNVs_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	27202140	18140747	143951472	27202140
CHR1_CLINGEN_Pathogenic_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	7066601	5684813	136271867	7066601
CHR1_OMIM_Dominant_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	16396383	7683824	143602638	16396383
CHR1_MMS_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	23921412	15865875	142945616	23921412
CHR1_Primary_CNVs_10MB_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	47081806	29825569	152146316	47081806
CHR1_OMIM_Recessive_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	10433026	6315825	139007280	10433026
CHR1_HIgenes_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	20842788	9506747	146226120	20842788
CHR1_OMIM_OMI_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	118550	81757	134926872	118550
CHR1_Primary_CNVs_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	47081806	29825569	152146316	47081806
CHR1_CLINGEN+DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	14988693	10269045	139609727	14988693
CHR1_DECIPHER_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	14541819	9884160	139547738	14541819
CHR1_MorbidMap_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	18829385	10851257	142868207	18829385
CHR1_OMIM_AllGenes_hg19.BEDvsCHR1_1_30_GAIN_0.009_N_ADDITIONALREGIONS.txt	134890079	95036163	54465970	175460272	95036163
CHR17_CooperPaper_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	24710524	19412146	61211243	24710524
CHR17_ReportedCNVs_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	30342763	21634742	64620886	30342763
CHR17_CLINGEN_Pathogenic_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	9398889	7890443	57421311	9398889
CHR17_OMIM_Dominant_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	51455346	37381842	69986369	51455346
CHR17_MMS_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	30016486	21434591	64494760	30016486
CHR17_Primary_CNVs_10MB_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	13050876	10468654	58495087	13050876
CHR17_OMIM_Recessive_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	9283085	5348212	59847738	9283085
CHR17_HIgenes_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	9250303	6498641	58664527	9250303
CHR17_OMIM_OMI_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	153100	133953	55932012	153100
CHR17_Primary_CNVs_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	13050876	10468654	58495087	13050876
CHR17_CLINGEN+DECIPHER_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	10756092	9247606	57421351	10756092
CHR17_DECIPHER_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	10557282	9194065	57276082	10557282
CHR17_MorbidMap_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	6226135	4538738	57600262	6226135
CHR17_OMIM_AllGenes_hg19.BEDvsCHR17_1_30_GAIN_0.001_N_ADDITIONALREGIONS.txt	55912865	55895984	40497716	71311133	55895984
CHR17_CooperPaper_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	24710524	19412146	61211243	24710524
CHR17_ReportedCNVs_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	30342763	21634742	64620886	30342763
CHR17_CLINGEN_Pathogenic_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	9398889	7890443	57421311	9398889
CHR17_OMIM_Dominant_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	51455346	37381842	69986369	51455346
CHR17_MMS_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	30016486	21434591	64494760	30016486
CHR17_Primary_CNVs_10MB_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	13050876	10468654	58495087	13050876
CHR17_OMIM_Recessive_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	9283085	5348212	59847738	9283085
CHR17_HIgenes_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	9250303	6498641	58664527	9250303
CHR17_OMIM_OMI_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	153100	133953	55932012	153100
CHR17_Primary_CNVs_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	13050876	10468654	58495087	13050876
CHR17_CLINGEN+DECIPHER_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	10756092	9247606	57421351	10756092
CHR17_DECIPHER_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	10557282	9194065	57276082	10557282
CHR17_MorbidMap_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	6226135	4538738	57600262	6226135
CHR17_OMIM_AllGenes_hg19.BEDvsCHR17_1_30_GAIN_0.002_N_ADDITIONALREGIONS.txt	55912865	55895984	40497716	71311133	55895984
CHR17_CooperPaper_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	24710524	19412146	61211243	24710524
CHR17_ReportedCNVs_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	30342763	21634742	64620886	30342763
CHR17_CLINGEN_Pathogenic_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	9398889	7890443	57421311	9398889
CHR17_OMIM_Dominant_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	51455346	37381842	69986369	51455346
CHR17_MMS_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	30016486	21434591	64494760	30016486
CHR17_Primary_CNVs_10MB_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	13050876	10468654	58495087	13050876
CHR17_OMIM_Recessive_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	9283085	5348212	59847738	9283085
CHR17_HIgenes_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	9250303	6498641	58664527	9250303
CHR17_OMIM_OMI_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	153100	133953	55932012	153100
CHR17_Primary_CNVs_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	13050876	10468654	58495087	13050876
CHR17_CLINGEN+DECIPHER_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	10756092	9247606	57421351	10756092
CHR17_DECIPHER_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	10557282	9194065	57276082	10557282
CHR17_MorbidMap_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	6226135	4538738	57600262	6226135
CHR17_OMIM_AllGenes_hg19.BEDvsCHR17_1_30_GAIN_0.003_N_ADDITIONALREGIONS.txt	55912865	55895984	40497716	71311133	55895984
CHR17_CooperPaper_hg19.BEDvsCHR17_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	52412437	24710524	18439120	58683841	24710524
CHR17_ReportedCNVs_hg19.BEDvsCHR17_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	52412437	30342763	20462373	62292827	30342763
CHR17_CLINGEN_Pathogenic_hg19.BEDvsCHR17_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	52412437	9398889	7551964	54259362	9398889
CHR17_OMIM_Dominant_hg19.BEDvsCHR17_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	52412437	51455346	35301919	68565864	51455346
CHR17_MMS_hg19.BEDvsCHR17_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	52412437	30016486	20278278	62150645	30016486
CHR17_Primary_CNVs_10MB_hg19.BEDvsCHR17_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	52412437	13050876	9882153	55581160	13050876
CHR17_OMIM_Recessive_hg19.BEDvsCHR17_1_30_GAIN_0.004_N_ADDITIONALREGIONS.txt	52412437	9283085	5149160	56546362	9283085
